-2,2222	-5,2500	88%	7,8	30
-2,7556	-5,2611	86%	6,2	29
-2,3167	-2,3167	88%	3,3	339
-3,8667	-3,8667	92%	3,1	323
-4,9333	-7,8111	96%	6,3	350
-1,2778	-1,2778	81%	3,5	342
-4,4889	-4,4889	95%	3,2	331
-4,5556	-7,3444	92%	6,2	348
-5,0944	-5,0944	96%	3,4	348
-5,1389	-5,1389	92%	4,6	338
-6,2056	-10,3889	92%	9,1	339
-6,0444	-6,0444	92%	3,4	9
-5,1389	-8,7667	92%	8,1	350
-2,8833	-2,8833	85%	1,5	0
-1,2056	-1,2056	76%	4,0	27
0,0500	0,0500	69%	4,5	14
1,2111	-1,6833	64%	9,4	348
2,2500	-0,3056	51%	8,8	356
2,2944	0,0278	45%	7,8	356
2,2944	0,0722	59%	7,7	6
1,2500	-0,8833	62%	6,9	36
-0,0722	-0,0722	69%	3,2	34
-1,1556	-1,1556	81%	3,0	8
-1,2222	-3,9056	87%	7,3	310
-1,2222	-1,2222	88%	0,1	225
-0,6889	-0,6889	84%	3,3	312
-1,1111	-1,1111	83%	4,8	302
-1,2778	-3,4444	82%	5,9	261
-1,2056	-1,2056	85%	3,1	310
-2,8722	-2,8722	90%	3,1	272
-1,1556	-1,1556	85%	3,5	298
-1,1556	-1,1556	85%	3,1	290
-1,5778	-1,5778	87%	3,1	323
-1,1556	-1,1556	88%	2,9	326
-1,1778	-2,9167	88%	5,0	301
-1,2111	-1,2111	89%	3,2	307
-1,1778	-1,1778	88%	3,1	310
-1,1056	-1,1056	88%	4,5	329
0,0167	0,0167	83%	1,9	309
1,1889	1,1889	74%	4,7	315
2,2500	2,2500	69%	3,4	311
2,7611	2,7611	62%	3,6	315
2,9278	0,7722	60%	7,8	301
2,8778	2,8778	61%	4,6	320
1,3389	1,3389	68%	4,5	288
0,0500	-1,5278	81%	5,0	272
-1,0389	-1,0389	80%	3,7	263
-1,2889	-1,2889	82%	3,4	270
-1,5000	-1,5000	85%	3,3	283
-1,7500	-1,7500	88%	3,4	290
-2,3222	-2,3222	90%	3,3	282
-2,8167	-2,8167	92%	3,4	271
-2,8889	-2,8889	92%	3,3	279
-1,4500	-3,1667	95%	4,9	169
-4,0000	-4,0000	92%	3,3	263
-4,5056	-4,5056	95%	3,3	244
-4,7611	-4,7611	96%	3,1	245
-3,9389	-3,9389	92%	4,6	254
-2,9167	-2,9167	92%	4,5	192
-2,9056	-2,9056	92%	3,4	239
-2,4944	-2,4944	96%	4,6	204
-2,3778	-2,3778	96%	3,2	234
-1,0778	-1,0778	89%	4,6	214
-1,0167	-1,0167	91%	4,6	186
0,1389	-1,3667	81%	4,9	197
1,0667	-1,7500	80%	9,0	191
1,2056	-1,6556	78%	9,2	170
1,2056	-1,6556	78%	9,2	189
0,1611	-1,4556	85%	5,1	182
-0,4611	-0,4611	88%	3,2	160
-0,0222	-0,0222	85%	4,7	170
-0,0667	-0,0667	87%	4,8	166
-1,0389	-4,3667	92%	9,4	160
-0,5556	-2,7111	92%	6,2	160
-0,9722	-3,1889	93%	6,2	158
-1,0611	-1,0611	96%	3,6	171
-1,5722	-1,5722	96%	3,2	152
-0,5556	-0,5556	92%	2,8	39
-1,5722	-1,5722	96%	3,2	122
-1,0611	-1,0611	92%	3,2	152
-0,9889	-3,1167	92%	5,9	139
-1,1111	-1,1111	88%	3,3	144
-1,0611	-1,0611	88%	4,7	161
-1,0889	-4,2667	89%	8,8	150
-1,0611	-1,0611	88%	3,2	150
-1,0389	-1,0389	92%	4,8	170
0,0389	-2,4333	86%	7,3	185
0,0722	0,0722	85%	4,8	187
0,1389	-2,8056	85%	8,8	198
1,1722	-1,1611	84%	7,4	193
1,1833	-1,2000	78%	7,6	187
1,1833	1,1833	78%	2,8	179
0,1889	0,1889	84%	4,1	185
-0,0944	-0,0944	92%	1,4	144
-0,0722	-0,0722	86%	4,1	177
-0,0389	-0,0389	86%	0,5	187
-0,0944	-0,0944	92%	1,1	270
-0,5778	-0,5778	92%	3,2	80
-0,6111	-0,6111	93%	3,2	321
-0,5778	-4,3056	92%	11,3	40
-0,5778	-0,5778	92%	3,3	8
-0,6778	-2,6833	96%	5,8	321
-0,5778	-0,5778	92%	3,5	10
-0,5778	-2,9000	92%	6,6	12
-1,0389	-3,3944	96%	6,5	3
-1,0833	-1,0833	92%	4,7	1
-1,0833	-3,8611	92%	7,6	59
-1,0556	-1,0556	92%	3,2	332
-1,1056	-3,9000	92%	7,6	320
-1,0833	-3,8667	99%	7,6	330
-0,8167	-0,8167	97%	3,4	318
0,0500	-2,5889	91%	7,8	329
0,0722	-2,5278	91%	7,6	338
0,2500	-2,2944	88%	7,6	325
0,0944	-2,6111	91%	8,0	320
0,0944	-3,1111	91%	9,7	320
0,1389	-2,5500	89%	8,0	337
0,0500	-2,5833	92%	7,7	319
0,0500	-1,5333	92%	5,0	299
